       value	     chindex	     chlabel	        bini	  binlabel	ERPset
     -13.717	           2	        E104	         133	02_:_30403	
     -13.433	           2	        E104	         134	02_:_30404	
      -9.974	           2	        E104	         135	02_:_30405	
      -4.035	           2	        E104	         136	02_:_30406	
     -11.465	           2	        E104	         137	02_:_30407	
     -10.296	           2	        E104	         138	02_:_30408	
       2.140	           2	        E104	         139	02_:_30409	
      -7.128	           2	        E104	         140	02_:_30410	
     -12.152	           2	        E104	         141	02_:_30501	
     -11.810	           2	        E104	         142	02_:_30502	
     -13.100	           2	        E104	         143	02_:_30503	
      -3.240	           2	        E104	         144	02_:_30504	
     -10.856	           2	        E104	         145	02_:_30505	
      -4.785	           2	        E104	         146	02_:_30506	
       2.749	           2	        E104	         147	02_:_30507	
      -1.311	           2	        E104	         148	02_:_30508	
       4.848	           2	        E104	         149	02_:_30509	
      -4.846	           2	        E104	         150	02_:_30510	
     -21.987	           2	        E104	         151	02_:_60101	
     -33.997	           2	        E104	         152	02_:_60102	
     -30.101	           2	        E104	         153	02_:_60103	
     -22.263	           2	        E104	         154	02_:_60104	
     -20.969	           2	        E104	         155	02_:_60105	
     -27.691	           2	        E104	         156	02_:_60106	
     -28.938	           2	        E104	         157	02_:_60107	
     -20.288	           2	        E104	         158	02_:_60108	
       0.188	           2	        E104	         159	02_:_60109	
     -17.205	           2	        E104	         160	02_:_60110	
     -13.500	           2	        E104	         161	02_:_60201	
     -22.808	           2	        E104	         162	02_:_60202	
     -16.155	           2	        E104	         163	02_:_60203	
     -19.231	           2	        E104	         164	02_:_60204	
     -16.093	           2	        E104	         165	02_:_60205	
      -3.279	           2	        E104	         166	02_:_60206	
     -14.530	           2	        E104	         167	02_:_60207	
     -16.019	           2	        E104	         168	02_:_60208	
     -11.542	           2	        E104	         169	02_:_60209	
       0.515	           2	        E104	         170	02_:_60210	
     -10.269	           2	        E104	         171	02_:_60301	
     -13.068	           2	        E104	         172	02_:_60302	
     -10.077	           2	        E104	         173	02_:_60303	
       2.150	           2	        E104	         174	02_:_60304	
       3.074	           2	        E104	         175	02_:_60305	
      -9.155	           2	        E104	         176	02_:_60306	
      -0.441	           2	        E104	         177	02_:_60307	
      -1.630	           2	        E104	         178	02_:_60308	
      -7.201	           2	        E104	         179	02_:_60309	
       3.123	           2	        E104	         180	02_:_60310	
     -19.803	           2	        E104	         181	02_:_60401	
      -8.876	           2	        E104	         182	02_:_60402	
     -13.398	           2	        E104	         183	02_:_60403	
     -11.405	           2	        E104	         184	02_:_60404	
      -3.749	           2	        E104	         185	02_:_60405	
     -15.710	           2	        E104	         186	02_:_60406	
     -15.447	           2	        E104	         187	02_:_60407	
     -10.255	           2	        E104	         188	02_:_60408	
       4.016	           2	        E104	         189	02_:_60409	
       0.687	           2	        E104	         190	02_:_60410	
     -16.639	           2	        E104	         191	02_:_60501	
     -10.713	           2	        E104	         192	02_:_60502	
     -11.521	           2	        E104	         193	02_:_60503	
       6.398	           2	        E104	         194	02_:_60504	
       0.838	           2	        E104	         195	02_:_60505	
     -10.370	           2	        E104	         196	02_:_60506	
      13.070	           2	        E104	         197	02_:_60507	
     -11.559	           2	        E104	         198	02_:_60508	
       1.228	           2	        E104	         199	02_:_60509	
      18.706	           2	        E104	         200	02_:_60510	
     -17.445	           2	        E104	         201	03_:_30101	
     -24.051	           2	        E104	         202	03_:_30102	
     -12.081	           2	        E104	         203	03_:_30103	
     -15.843	           2	        E104	         204	03_:_30104	
       1.059	           2	        E104	         205	03_:_30105	
      -6.729	           2	        E104	         206	03_:_30106	
     -12.275	           2	        E104	         207	03_:_30107	
     -11.528	           2	        E104	         208	03_:_30108	
     -17.448	           2	        E104	         209	03_:_30109	
      -8.769	           2	        E104	         210	03_:_30110	
     -21.868	           2	        E104	         211	03_:_30201	
     -19.486	           2	        E104	         212	03_:_30202	
      -2.075	           2	        E104	         213	03_:_30203	
      -4.154	           2	        E104	         214	03_:_30204	
     -11.650	           2	        E104	         215	03_:_30205	
       2.523	           2	        E104	         216	03_:_30206	
      -2.634	           2	        E104	         217	03_:_30207	
      -3.155	           2	        E104	         218	03_:_30208	
       0.939	           2	        E104	         219	03_:_30209	
     -11.907	           2	        E104	         220	03_:_30210	
      -0.024	           2	        E104	         221	03_:_30301	
      -8.730	           2	        E104	         222	03_:_30302	
      -2.465	           2	        E104	         223	03_:_30303	
      -4.242	           2	        E104	         224	03_:_30304	
       1.099	           2	        E104	         225	03_:_30305	
       1.606	           2	        E104	         226	03_:_30306	
       5.593	           2	        E104	         227	03_:_30307	
      10.504	           2	        E104	         228	03_:_30308	
      13.423	           2	        E104	         229	03_:_30309	
       0.169	           2	        E104	         230	03_:_30310	
     -10.725	           2	        E104	         231	03_:_30401	
      -6.983	           2	        E104	         232	03_:_30402	
      -7.741	           2	        E104	         233	03_:_30403	
       0.205	           2	        E104	         234	03_:_30404	
       3.966	           2	        E104	         235	03_:_30405	
      10.892	           2	        E104	         236	03_:_30406	
      -7.347	           2	        E104	         237	03_:_30407	
       9.312	           2	        E104	         238	03_:_30408	
      -5.272	           2	        E104	         239	03_:_30409	
      13.414	           2	        E104	         240	03_:_30410	
      -4.366	           2	        E104	         241	03_:_30501	
      17.586	           2	        E104	         242	03_:_30502	
       4.710	           2	        E104	         243	03_:_30503	
      14.712	           2	        E104	         244	03_:_30504	
      10.184	           2	        E104	         245	03_:_30505	
      11.367	           2	        E104	         246	03_:_30506	
       7.621	           2	        E104	         247	03_:_30507	
      19.827	           2	        E104	         248	03_:_30508	
      10.161	           2	        E104	         249	03_:_30509	
       6.979	           2	        E104	         250	03_:_30510	
     -18.472	           2	        E104	         251	03_:_60101	
      -3.040	           2	        E104	         252	03_:_60102	
     -15.327	           2	        E104	         253	03_:_60103	
      -8.239	           2	        E104	         254	03_:_60104	
     -18.147	           2	        E104	         255	03_:_60105	
       2.530	           2	        E104	         256	03_:_60106	
       1.374	           2	        E104	         257	03_:_60107	
      -7.830	           2	        E104	         258	03_:_60108	
     -18.219	           2	        E104	         259	03_:_60109	
       3.211	           2	        E104	         260	03_:_60110	
      -2.016	           2	        E104	         261	03_:_60201	
      -7.485	           2	        E104	         262	03_:_60202	
      -3.588	           2	        E104	         263	03_:_60203	
      -7.994	           2	        E104	         264	03_:_60204	
      -3.449	           2	        E104	         265	03_:_60205	
       7.618	           2	        E104	         266	03_:_60206	
       6.167	           2	        E104	         267	03_:_60207	
       2.716	           2	        E104	         268	03_:_60208	
      11.320	           2	        E104	         269	03_:_60209	
       7.410	           2	        E104	         270	03_:_60210	
      -0.846	           2	        E104	         271	03_:_60301	
      -1.787	           2	        E104	         272	03_:_60302	
       1.884	           2	        E104	         273	03_:_60303	
     -12.563	           2	        E104	         274	03_:_60304	
       6.716	           2	        E104	         275	03_:_60305	
       0.805	           2	        E104	         276	03_:_60306	
       4.986	           2	        E104	         277	03_:_60307	
       6.572	           2	        E104	         278	03_:_60308	
       2.248	           2	        E104	         279	03_:_60309	
      13.530	           2	        E104	         280	03_:_60310	
      -3.482	           2	        E104	         281	03_:_60401	
       1.475	           2	        E104	         282	03_:_60402	
      -1.303	           2	        E104	         283	03_:_60403	
       4.745	           2	        E104	         284	03_:_60404	
       9.002	           2	        E104	         285	03_:_60405	
       8.230	           2	        E104	         286	03_:_60406	
      15.526	           2	        E104	         287	03_:_60407	
      10.168	           2	        E104	         288	03_:_60408	
      11.827	           2	        E104	         289	03_:_60409	
      17.857	           2	        E104	         290	03_:_60410	
     -13.280	           2	        E104	         291	03_:_60501	
      -9.035	           2	        E104	         292	03_:_60502	
       7.522	           2	        E104	         293	03_:_60503	
      -2.267	           2	        E104	         294	03_:_60504	
      18.562	           2	        E104	         295	03_:_60505	
      11.017	           2	        E104	         296	03_:_60506	
      24.056	           2	        E104	         297	03_:_60507	
      14.078	           2	        E104	         298	03_:_60508	
      12.599	           2	        E104	         299	03_:_60509	
      29.157	           2	        E104	         300	03_:_60510	
     -29.695	           2	        E104	         301	04_:_30101	
     -26.636	           2	        E104	         302	04_:_30102	
     -15.046	           2	        E104	         303	04_:_30103	
     -18.703	           2	        E104	         304	04_:_30104	
     -18.839	           2	        E104	         305	04_:_30105	
     -13.322	           2	        E104	         306	04_:_30106	
     -10.384	           2	        E104	         307	04_:_30107	
     -24.300	           2	        E104	         308	04_:_30108	
     -12.317	           2	        E104	         309	04_:_30109	
     -13.588	           2	        E104	         310	04_:_30110	
     -16.280	           2	        E104	         311	04_:_30201	
     -11.226	           2	        E104	         312	04_:_30202	
     -15.365	           2	        E104	         313	04_:_30203	
     -17.786	           2	        E104	         314	04_:_30204	
     -15.312	           2	        E104	         315	04_:_30205	
      -2.084	           2	        E104	         316	04_:_30206	
      -9.865	           2	        E104	         317	04_:_30207	
     -12.900	           2	        E104	         318	04_:_30208	
      -5.563	           2	        E104	         319	04_:_30209	
      -3.768	           2	        E104	         320	04_:_30210	
      -6.416	           2	        E104	         321	04_:_30301	
      -5.495	           2	        E104	         322	04_:_30302	
     -12.319	           2	        E104	         323	04_:_30303	
     -11.141	           2	        E104	         324	04_:_30304	
      -5.569	           2	        E104	         325	04_:_30305	
     -16.754	           2	        E104	         326	04_:_30306	
       5.010	           2	        E104	         327	04_:_30307	
       2.468	           2	        E104	         328	04_:_30308	
       4.944	           2	        E104	         329	04_:_30309	
      -5.111	           2	        E104	         330	04_:_30310	
     -26.248	           2	        E104	         331	04_:_30401	
       0.116	           2	        E104	         332	04_:_30402	
     -13.494	           2	        E104	         333	04_:_30403	
       0.123	           2	        E104	         334	04_:_30404	
      -4.076	           2	        E104	         335	04_:_30405	
       3.824	           2	        E104	         336	04_:_30406	
      -8.937	           2	        E104	         337	04_:_30407	
       3.289	           2	        E104	         338	04_:_30408	
      -0.235	           2	        E104	         339	04_:_30409	
      -6.400	           2	        E104	         340	04_:_30410	
     -10.244	           2	        E104	         341	04_:_30501	
       4.651	           2	        E104	         342	04_:_30502	
      -8.168	           2	        E104	         343	04_:_30503	
      -8.418	           2	        E104	         344	04_:_30504	
       1.006	           2	        E104	         345	04_:_30505	
       2.940	           2	        E104	         346	04_:_30506	
      11.498	           2	        E104	         347	04_:_30507	
      -3.867	           2	        E104	         348	04_:_30508	
      14.633	           2	        E104	         349	04_:_30509	
      16.069	           2	        E104	         350	04_:_30510	
     -25.996	           2	        E104	         351	04_:_60101	
     -25.283	           2	        E104	         352	04_:_60102	
     -27.294	           2	        E104	         353	04_:_60103	
     -19.032	           2	        E104	         354	04_:_60104	
     -16.109	           2	        E104	         355	04_:_60105	
     -13.696	           2	        E104	         356	04_:_60106	
     -11.786	           2	        E104	         357	04_:_60107	
      -9.464	           2	        E104	         358	04_:_60108	
     -17.026	           2	        E104	         359	04_:_60109	
     -11.201	           2	        E104	         360	04_:_60110	
     -14.891	           2	        E104	         361	04_:_60201	
     -15.323	           2	        E104	         362	04_:_60202	
     -13.058	           2	        E104	         363	04_:_60203	
      -4.978	           2	        E104	         364	04_:_60204	
      -7.499	           2	        E104	         365	04_:_60205	
      -9.464	           2	        E104	         366	04_:_60206	
     -15.669	           2	        E104	         367	04_:_60207	
       9.461	           2	        E104	         368	04_:_60208	
      -6.136	           2	        E104	         369	04_:_60209	
       1.974	           2	        E104	         370	04_:_60210	
      -7.858	           2	        E104	         371	04_:_60301	
      -3.747	           2	        E104	         372	04_:_60302	
      -3.259	           2	        E104	         373	04_:_60303	
       5.002	           2	        E104	         374	04_:_60304	
      -2.162	           2	        E104	         375	04_:_60305	
      -1.424	           2	        E104	         376	04_:_60306	
      -1.097	           2	        E104	         377	04_:_60307	
       4.385	           2	        E104	         378	04_:_60308	
       3.778	           2	        E104	         379	04_:_60309	
       5.199	           2	        E104	         380	04_:_60310	
     -19.726	           2	        E104	         381	04_:_60401	
      -8.917	           2	        E104	         382	04_:_60402	
     -11.173	           2	        E104	         383	04_:_60403	
     -10.716	           2	        E104	         384	04_:_60404	
      -3.168	           2	        E104	         385	04_:_60405	
      -7.612	           2	        E104	         386	04_:_60406	
     -11.487	           2	        E104	         387	04_:_60407	
      -1.424	           2	        E104	         388	04_:_60408	
      -6.579	           2	        E104	         389	04_:_60409	
      -0.917	           2	        E104	         390	04_:_60410	
      -9.527	           2	        E104	         391	04_:_60501	
       6.816	           2	        E104	         392	04_:_60502	
     -13.178	           2	        E104	         393	04_:_60503	
       4.014	           2	        E104	         394	04_:_60504	
       3.393	           2	        E104	         395	04_:_60505	
       9.300	           2	        E104	         396	04_:_60506	
       1.242	           2	        E104	         397	04_:_60507	
       7.718	           2	        E104	         398	04_:_60508	
       2.442	           2	        E104	         399	04_:_60509	
       4.361	           2	        E104	         400	04_:_60510	
      -6.205	           2	        E104	         401	05_:_30101	
     -11.139	           2	        E104	         402	05_:_30102	
      -4.842	           2	        E104	         403	05_:_30103	
      -4.493	           2	        E104	         404	05_:_30104	
      -3.623	           2	        E104	         405	05_:_30105	
      -2.934	           2	        E104	         406	05_:_30106	
      -4.993	           2	        E104	         407	05_:_30107	
       3.037	           2	        E104	         408	05_:_30108	
      -7.747	           2	        E104	         409	05_:_30109	
       2.541	           2	        E104	         410	05_:_30110	
      -5.362	           2	        E104	         411	05_:_30201	
       2.400	           2	        E104	         412	05_:_30202	
       0.463	           2	        E104	         413	05_:_30203	
       5.493	           2	        E104	         414	05_:_30204	
      12.796	           2	        E104	         415	05_:_30205	
      15.252	           2	        E104	         416	05_:_30206	
      14.346	           2	        E104	         417	05_:_30207	
       8.325	           2	        E104	         418	05_:_30208	
      16.872	           2	        E104	         419	05_:_30209	
      21.158	           2	        E104	         420	05_:_30210	
      -2.164	           2	        E104	         421	05_:_30301	
       7.385	           2	        E104	         422	05_:_30302	
       9.936	           2	        E104	         423	05_:_30303	
      10.267	           2	        E104	         424	05_:_30304	
       9.110	           2	        E104	         425	05_:_30305	
       8.737	           2	        E104	         426	05_:_30306	
      15.389	           2	        E104	         427	05_:_30307	
       8.877	           2	        E104	         428	05_:_30308	
      20.493	           2	        E104	         429	05_:_30309	
